org,aft
http://dbpedia.org/resource/Handwriting,http://dbpedia.org/resource/Handwriting
http://ja.dbpedia.org/resource/東京大学大学院総合文化研究科・教養学部,http://ja.dbpedia.org/resource/東京大学大学院総合文化研究科・教養学部
http://dbpedia.org/resource/Hirohito,http://dbpedia.org/resource/Hirohito
http://ja.dbpedia.org/resource/皇后,http://ja.dbpedia.org/resource/皇后
http://dbpedia.org/resource/Regent,http://dbpedia.org/resource/Regent
http://dbpedia.org/resource/Anemometer,http://dbpedia.org/resource/Anemometer
http://ja.dbpedia.org/resource/朝日ジャーナル,http://ja.dbpedia.org/resource/朝日ジャーナル
http://ja.dbpedia.org/resource/森恭三,http://ja.dbpedia.org/resource/森恭三
http://dbpedia.org/resource/Asahi_Shimbun,http://dbpedia.org/resource/Asahi_Shimbun
http://dbpedia.org/resource/Meiji_period,http://dbpedia.org/resource/Meiji_period
http://ja.dbpedia.org/resource/坪井誠太郎,http://ja.dbpedia.org/resource/坪井誠太郎
http://dbpedia.org/resource/Ministry_of_the_Treasury,http://dbpedia.org/resource/Ministry_of_the_Treasury
http://de.dbpedia.org/resource/Ono_Hideo,http://de.dbpedia.org/resource/Ono_Hideo
http://zh.dbpedia.org/resource/悲華經,http://zh.dbpedia.org/resource/悲華經
"http://dbpedia.org/resource/Minister_of_Education,_Culture,_Sports,_Science_and_Technology","http://dbpedia.org/resource/Minister_of_Education,_Culture,_Sports,_Science_and_Technology"
http://ja.dbpedia.org/resource/吉田正高,http://ja.dbpedia.org/resource/吉田正高
http://ja.dbpedia.org/resource/坪井正五郎,http://ja.dbpedia.org/resource/坪井正五郎
http://dbpedia.org/resource/Bulgaria,http://dbpedia.org/resource/Bulgaria
http://dbpedia.org/resource/Japan_Agricultural_Cooperatives,http://dbpedia.org/resource/Japan_Agricultural_Cooperatives
http://ja.dbpedia.org/resource/坪井信良,http://ja.dbpedia.org/resource/坪井信良
http://dbpedia.org/resource/Tadamasa_Hayashi,http://dbpedia.org/resource/Tadamasa_Hayashi
http://dbpedia.org/resource/Paris,http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/Classical_Chinese,http://dbpedia.org/resource/Classical_Chinese
http://dbpedia.org/resource/Soviet_Union,http://dbpedia.org/resource/Soviet_Union
