word,cnt
名誉,3
名簿,3
1,3
情報,3
資料,3
-,3
322,2
収集,2
13,2
in,2
.,2
2,2
7,2
69,2
∽,1
アイテム,1
東京大学,1
大学院,1
学,1
環,1
図書,1
室,1
/,1
附属,1
社会,1
研究,1
センター,1
外務省,1
部,1
所蔵,1
旧,1
新聞,1
研究所,1
何,1
初,1
彦教授,1
512,1
506,1
デジタル,1
化,1
済,1
絵画,1
版画,1
ポスター,1
図案,1
地図,1
書画,1
Honor,1
RollVThe,1
following,1
patriotic,1
men,1
and,1
women,1
this,1
organization,1
have,1
invested,1
the,1
Victory,1
Liberty,1
Loan,1
3,1
4,1
5,1
6,1
8,1
9,1
10,1
11,1
12,1
14,1
15,1
16,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
組織,1
所属,1
以下,1
愛国,1
的,1
男性,1
女性,1
投資,1
勝利,1
自由,1
公債,1
印刷所,1
:,1
Regensteiner,1
Colortype,1
Co,1
CHI,1
募債,1
アメリカ,1
平版,1
描画,1
石版,1
色,1
赤,1
藍,1
